T50,T90,Epk_bisector
1.664,4.096,111.1731727
37.18,70.72,276.6941645
0.384,1.088,400.8667176
85.38,99.78,118.5768748
16.13,55.42,95.4992586
10.56,26.24,324.3396173
13.31,21.63,1655.769963
12.16,29.44,763.8357836
18.82,48.32,95.4992586
0.512,0.96,870.96359
10.88,27.58,174.5822153
12.61,32.38,238.2319469
8.448,22.66,81.4704284
0.031,0.074,1114.294534
5.312,17.15,169.8243652
58.24,107.9,243.2204009
6.336,20.54,182.8100216
25.28,73.47,797.9946873
15.17,38.85,293.0893245
54.27,90.56,120.7813835
0.192,0.384,868.9604293
30.59,69.5,50.5824662
8.768,48.51,924.6981739
9.664,28.8,257.6321157
53.38,88.58,178.6487575
1.472,12.67,222.8435149
29.31,35.26,127.6438809
63.36,215,138.6755829
25.02,66.11,440.5548635
10.05,16.13,490.9078762
23.36,30.34,299.2264637
22.34,36.61,118.3041556
0.768,1.408,1330.454418
0.32,0.512,278.6121169
0.768,2.048,103.038612
1.536,4.736,578.0960474
28.35,82.88,162.5548756
97.98,129,79.61593504
3.84,8.512,245.4708916
23.94,67.71,129.7179271
22.46,62.85,94.84184633
16.13,67.14,130.6170888
28.42,182.8,74.13102413
4.992,13.31,162.1810097
0.192,0.768,642.6877173
30.14,53.89,91.83325965
13.38,36.67,473.151259
0.07,0.419,283.1391996
10.62,35.97,533.3348955
1.408,3.52,79.79946873
0.064,0.192,1261.827535
12.8,27.2,55.84701947
30.78,52.8,177.827941
1.408,4.544,347.5361614
0.128,0.128,778.036551
1.6,3.904,268.5344446
13.95,32.38,72.61059574
4.608,10.5,57.54399373
0.167,0.388,743.0191379
5.376,23.74,222.3309891
1.088,3.392,73.11390835
6.592,9.664,405.5085354
1.6,3.456,135.2072563
4.48,5.952,317.6874071
65.09,307.6,192.3091729
10.82,23.62,116.9499391
3.328,14.66,156.675107
0.222,1.047,1051.961874
13.76,31.04,137.4041975
7.936,15.81,367.2823005
7.424,36.86,665.2731562
4.352,46.72,63.97348355
0.128,0.128,130.0169578
32.32,63.62,307.6096815
0.069,0.578,540.7543229
10.62,52.16,116.1448614
2.423,2.936,597.0352866
0.32,0.576,397.1915495
0.286,1.235,23.82319469
15.74,31.23,100
26.43,58.05,91.20108394
10.82,19.78,190.5460718
17.92,52.99,521.1947111
129.3,155.1,651.6283941
0.128,1.152,803.5261222
3.584,17.34,219.7859873
24.96,61.63,106.9054879
3.648,275.7,688.6522963
1.856,16.19,153.1087462
6.336,26.56,238.2319469
0.384,2.816,357.2728382
4.096,14.02,136.4583137
10.11,25.41,100.6931669
0.256,0.704,423.642966
4.032,7.232,35.39973411
25.47,109.8,376.703799
136.6,272.4,379.314985
20.86,30.46,36.55947916
17.02,60.22,167.4942876
0.126,0.522,544.5026528
6.592,16.13,46.55860935
12.03,21.7,190.5460718
1.664,5.056,160.3245391
3.584,6.272,601.1737375
0.467,1.112,630.9573445
1.408,5.44,1061.695557
0.192,0.512,185.7804455
1.344,6.4,1348.962883
12.22,41.09,162.5548756
0.128,0.128,701.4552984
0.896,15.36,230.6747189
1.216,1.792,407.3802778
