Results from heasarc_batsegrb: CGRO/BATSE Gamma-Ray Burst Catalog
Coordinate system:  Equatorial
 trigger_num t90      fluence_1  fluence_2  fluence_3  fluence_4  
       02387   41.984 1.6181e-06 3.4080e-06 9.6800e-06 7.4606e-06 
       06098    9.344 3.4680e-07 4.1394e-07 1.0053e-06 1.1952e-07 
       02512    0.359 2.0116e-08 2.7283e-08 1.2308e-07 1.4808e-07 
       03038    0.464 4.2265e-09 1.7514e-08 1.4342e-07 6.3006e-07 
       03453 NaN NaN NaN NaN NaN 
       02433 NaN NaN NaN NaN NaN 
       02895 NaN NaN NaN NaN NaN 
       01953    2.816 3.7504e-08 3.9895e-08 1.7865e-07 4.9801e-07 
       03938   66.976 NaN NaN NaN NaN 
       01888 NaN NaN NaN NaN NaN 
       06550   13.312 1.8817e-07 2.6819e-07 1.2799e-06 0.0000e+00 
       07488   57.280 4.0113e-07 4.8279e-07 1.8369e-06 7.1829e-06 
       01235  189.952 1.8242e-06 2.1199e-06 5.3221e-06 9.3166e-07 
       02401    3.200 5.0419e-08 4.6893e-08 1.7277e-07 6.6052e-07 
       05377 NaN NaN NaN NaN NaN 
       02515   10.528 6.0911e-08 9.8845e-08 3.1722e-07 0.0000e+00 
       06160 NaN 8.0098e-07 7.3139e-07 1.7143e-06 7.3901e-07 
       06136    1.920 8.1909e-08 9.5447e-08 1.9102e-07 6.9575e-08 
       07516 NaN NaN NaN NaN NaN 
       06386    0.832 2.1449e-08 2.1905e-08 2.1693e-07 9.7353e-07 
       02189   20.544 1.5205e-07 4.3607e-07 9.6924e-07 2.5928e-07 
       07559    2.970 4.6770e-08 4.9208e-08 1.2530e-07 0.0000e+00 
       01626   30.336 7.5371e-08 9.4414e-08 3.0977e-07 8.5926e-07 
       01479 NaN 1.9935e-08 4.8310e-09 1.0040e-07 1.5380e-07 
       02522   83.072 1.8944e-06 2.7495e-06 1.0785e-05 6.2172e-06 
       05494   32.000 5.9541e-08 5.5330e-08 2.9424e-07 7.3916e-07 
       03767 NaN NaN NaN NaN NaN 
       03290   43.648 2.9866e-06 3.2049e-06 6.8947e-06 4.4107e-06 
       01009  356.672 1.3514e-06 1.6645e-06 3.1892e-06 4.3552e-06 
       06422    6.592 2.1087e-06 1.8257e-06 2.0289e-06 7.3611e-07 
       02050 NaN NaN NaN NaN NaN 
       02169   14.528 NaN NaN NaN NaN 
       07933 NaN NaN NaN NaN NaN 
       07404   40.320 2.0966e-07 3.7083e-07 1.0863e-06 0.0000e+00 
       07708 NaN NaN NaN NaN NaN 
       00486    0.320 9.6414e-09 1.3888e-08 6.5324e-08 0.0000e+00 
       03153   32.032 4.0141e-07 3.9626e-07 4.7997e-07 4.7040e-06 
       05499    0.624 1.1151e-08 2.2821e-08 1.4983e-07 6.3240e-07 
       02485    0.176 5.3081e-09 1.2826e-08 3.4750e-08 0.0000e+00 
       06608 NaN NaN NaN NaN NaN 
       01713 NaN NaN NaN NaN NaN 
       06331    2.432 4.7226e-08 4.8434e-08 8.8226e-08 5.3698e-08 
       03569   21.024 3.7064e-07 4.2242e-07 1.0316e-06 2.1034e-07 
       07603    9.280 1.2406e-07 1.4435e-07 3.2814e-07 0.0000e+00 
       01552   48.320 2.7978e-07 3.2528e-07 4.4818e-07 4.6228e-07 
       03333    0.052 1.3013e-09 5.3703e-09 1.9793e-08 1.2206e-08 
       06583   39.232 8.4976e-07 8.9021e-07 2.0458e-06 1.9114e-07 
       03084    9.600 5.1769e-07 6.2453e-07 1.9075e-06 2.0715e-06 
       03351  102.912 2.0675e-06 1.4685e-06 2.9891e-06 4.2288e-06 
       01656  182.784 8.6728e-07 1.1407e-06 2.1538e-06 0.0000e+00 
       03771  132.256 3.8741e-07 6.8719e-07 1.7545e-06 1.9295e-06 
       05724    1.280 1.3211e-08 3.1636e-08 2.3121e-07 7.5211e-07 
       00677    0.055 3.9611e-09 1.1390e-08 9.8344e-08 1.5001e-06 
       04710    9.984 3.2355e-07 3.6865e-07 9.7936e-07 2.4197e-06 
       06308   18.880 5.7589e-08 3.9401e-08 2.0910e-07 0.0000e+00 
       01651    8.512 4.7573e-07 3.7489e-07 1.1002e-06 3.4063e-06 
       00673   27.456 1.2895e-07 3.8222e-07 5.4242e-07 8.6787e-09 
       05337 NaN NaN NaN NaN NaN 
       07841   50.368 8.3808e-07 7.1794e-07 1.8989e-06 5.5834e-07 
       03450 NaN NaN NaN NaN NaN 
       02767   33.216 4.5370e-08 0.0000e+00 1.0929e-07 2.7436e-10 
